,expFolder,probe,_av_IDs,movement_correlation
1160,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,457,-0.0044069995836162
1052,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,349,-0.0042668582973874
3197,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,216,-0.0041854128233609
2241,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,84,-0.0041480436495604
2932,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,380,-0.0041456367627531
935,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,231,-0.0041439296504177
2814,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,262,-0.0040989385043417
4421,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,102,-0.0037924809024998
2062,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,284,-0.0035783088039313
3469,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,489,-0.0034018980248824
3879,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,407,-0.0031579233317075
3617,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,141,-0.0028980874162644
3161,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,180,-0.0023273204440916
3023,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,40,-0.0022627545103909
2638,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,86,-0.0022503853440103
3721,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,247,-0.0020383494057079
4659,\\zinu.cortexlab.net\Subjects\FT019\2021-07-07\2,probe0,51,-0.0019295434969284
3960,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,488,-0.0019045327722553
801,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,96,-0.0018969526944378
351,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,55,-0.0018892021896969
3355,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,375,-0.0017364164886624
3692,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,218,-0.0015620760783908
945,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,241,-0.0015116952614066
694,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,404,-0.0013978380664667
934,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,230,-0.0013892841369711
737,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,32,-0.0012185609945611
1934,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,155,-0.0008946379134933
4668,\\zinu.cortexlab.net\Subjects\FT019\2021-07-07\2,probe0,60,-0.0006033074598031
2974,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,422,-0.0004943773757368
3835,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,363,-0.0004692411576983
3375,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,395,-0.0004160613363547
2650,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,98,-0.0003922389131177
3642,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,167,-0.0002957549059122
3046,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,63,-0.0002829115035638
3175,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,194,-3.1756038266140736e-05
1710,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,505,0.0
1711,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,506,0.0
1716,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,511,0.0
1680,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,475,0.0
1718,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,513,0.0
1642,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,437,0.0
1725,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,520,0.0
1728,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,523,0.0
1729,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,524,0.0
1730,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,525,0.0
1638,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,433,0.0
1723,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,518,0.0
1691,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,486,0.0
1707,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,502,0.0
1678,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,473,0.0
1645,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,440,0.0
1649,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,444,0.0
1656,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,451,0.0
1657,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,452,0.0
1658,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,453,0.0
1689,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,484,0.0
1661,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,456,0.0
1687,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,482,0.0
1664,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,459,0.0
1685,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,480,0.0
1670,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,465,0.0
1672,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,467,0.0
1644,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,439,0.0
1666,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,461,0.0
4007,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,41,0.0
1632,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,427,0.0
1538,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,333,0.0
1534,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,329,0.0
1533,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,328,0.0
1531,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,326,0.0
1529,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,324,0.0
1528,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,323,0.0
1527,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,322,0.0
1526,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,321,0.0
1524,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,319,0.0
1539,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,334,0.0
1522,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,317,0.0
1519,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,314,0.0
1515,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,310,0.0
1512,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,307,0.0
1508,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,303,0.0
1506,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,301,0.0
1498,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,291,0.0
1497,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,290,0.0
1493,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,286,0.0
1491,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,284,0.0
1520,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,315,0.0
1540,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,335,0.0
1547,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,342,0.0
1549,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,344,0.0
1743,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,538,0.0
1625,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,420,0.0
1623,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,418,0.0
1614,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,409,0.0
1613,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,408,0.0
1612,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,407,0.0
1607,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,402,0.0
1606,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,401,0.0
1604,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,399,0.0
1603,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,398,0.0
1596,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,391,0.0
1594,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,389,0.0
1585,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,380,0.0
1584,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,379,0.0
1581,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,376,0.0
1580,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,375,0.0
1578,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,373,0.0
1573,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,368,0.0
1567,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,362,0.0
1563,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,358,0.0
1554,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,349,0.0
1634,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,429,0.0
1745,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,540,0.0
4078,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,112,0.0
1755,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,550,0.0
4018,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,52,0.0
4019,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,53,0.0
3983,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,17,0.0
3982,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,16,0.0
4020,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,54,0.0
3979,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,13,0.0
3975,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,9,0.0
3985,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,19,0.0
3974,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,8,0.0
4027,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,61,0.0
3973,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,7,0.0
4028,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,62,0.0
4029,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,63,0.0
4030,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,64,0.0
3971,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,5,0.0
4034,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,68,0.0
4021,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,55,0.0
4035,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,69,0.0
3986,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,20,0.0
4017,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,51,0.0
4003,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,37,0.0
4008,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,42,0.0
4009,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,43,0.0
4010,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,44,0.0
4002,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,36,0.0
4011,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,45,0.0
4012,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,46,0.0
3989,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,23,0.0
3999,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,33,0.0
3996,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,30,0.0
4013,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,47,0.0
3995,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,29,0.0
3994,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,28,0.0
3993,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,27,0.0
4015,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,49,0.0
3992,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,26,0.0
3998,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,32,0.0
1748,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,543,0.0
4039,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,73,0.0
3969,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,3,0.0
4074,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,108,0.0
4076,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,110,0.0
4077,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,111,0.0
4004,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,38,0.0
4079,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,113,0.0
4080,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,114,0.0
4081,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,115,0.0
4072,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,106,0.0
4082,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,116,0.0
1775,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,570,0.0
1774,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,569,0.0
1766,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,561,0.0
1764,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,559,0.0
1763,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,558,0.0
1761,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,556,0.0
1756,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,551,0.0
1778,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,573,0.0
3970,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,4,0.0
4071,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,105,0.0
4067,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,101,0.0
4042,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,76,0.0
4043,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,77,0.0
1487,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,280,0.0
4044,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,78,0.0
4045,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,79,0.0
4047,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,81,0.0
5554,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,337,0.0
4068,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,102,0.0
4050,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,84,0.0
4052,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,86,0.0
4053,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,87,0.0
4057,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,91,0.0
4059,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,93,0.0
4061,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,95,0.0
4065,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,99,0.0
4066,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,100,0.0
4051,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,85,0.0
1485,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,278,0.0
5556,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,339,0.0
1483,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,276,0.0
4305,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,346,0.0
4302,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,343,0.0
4299,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,340,0.0
4298,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,339,0.0
4285,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,326,0.0
4284,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,325,0.0
4283,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,324,0.0
4308,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,349,0.0
4281,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,322,0.0
4278,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,319,0.0
4277,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,318,0.0
4271,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,312,0.0
1484,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,277,0.0
4270,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,311,0.0
4267,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,308,0.0
4266,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,307,0.0
4279,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,320,0.0
4265,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,306,0.0
4309,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,350,0.0
4311,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,352,0.0
4875,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,58,0.0
4872,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,55,0.0
4871,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,54,0.0
4870,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,53,0.0
4864,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,47,0.0
4863,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,46,0.0
4862,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,45,0.0
4310,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,351,0.0
4861,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,44,0.0
4859,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,42,0.0
4856,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,39,0.0
4849,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,32,0.0
4848,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,31,0.0
4315,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,356,0.0
4313,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,354,0.0
4312,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,353,0.0
4860,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,43,0.0
4264,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,305,0.0
4262,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,303,0.0
4253,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,294,0.0
4195,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,236,0.0
