,expFolder,probe,_av_IDs,movement_correlation
4192,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,233,0.0
4191,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,232,0.0
4185,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,226,0.0
4184,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,225,0.0
4182,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,223,0.0
4180,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,221,0.0
4196,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,237,0.0
4177,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,218,0.0
4170,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,211,0.0
4169,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,210,0.0
4168,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,209,0.0
4167,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,208,0.0
4166,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,207,0.0
4162,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,203,0.0
4161,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,202,0.0
4171,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,212,0.0
4198,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,239,0.0
4200,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,241,0.0
4201,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,242,0.0
4252,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,293,0.0
4249,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,290,0.0
4243,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,284,0.0
4239,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,280,0.0
4236,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,277,0.0
4235,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,276,0.0
4234,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,275,0.0
4233,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,274,0.0
4229,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,270,0.0
4228,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,269,0.0
4224,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,265,0.0
4221,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,262,0.0
4220,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,261,0.0
4215,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,256,0.0
4214,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,255,0.0
4203,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,244,0.0
4202,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,243,0.0
4878,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,61,0.0
4160,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,201,0.0
4879,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,62,0.0
4881,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,64,0.0
5319,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,102,0.0
5317,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,100,0.0
5309,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,92,0.0
5307,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,90,0.0
5306,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,89,0.0
5304,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,87,0.0
5303,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,86,0.0
5320,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,103,0.0
5302,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,85,0.0
5299,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,82,0.0
5296,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,79,0.0
5294,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,77,0.0
5293,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,76,0.0
5292,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,75,0.0
5289,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,72,0.0
5288,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,71,0.0
5300,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,83,0.0
5286,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,69,0.0
5321,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,104,0.0
5330,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,113,0.0
5517,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,300,0.0
5515,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,298,0.0
5514,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,297,0.0
5507,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,290,0.0
5503,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,286,0.0
5498,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,281,0.0
5497,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,280,0.0
5324,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,107,0.0
5496,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,279,0.0
5494,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,277,0.0
5492,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,275,0.0
5360,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,143,0.0
5353,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,136,0.0
5352,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,135,0.0
5351,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,134,0.0
5334,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,117,0.0
5495,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,278,0.0
5285,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,68,0.0
5284,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,67,0.0
5282,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,65,0.0
4929,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,112,0.0
4927,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,110,0.0
4921,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,104,0.0
4918,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,101,0.0
4916,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,99,0.0
4914,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,97,0.0
4904,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,87,0.0
4940,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,123,0.0
4899,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,82,0.0
4896,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,79,0.0
4895,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,78,0.0
4893,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,76,0.0
4892,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,75,0.0
4888,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,71,0.0
4886,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,69,0.0
4883,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,66,0.0
4897,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,80,0.0
4943,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,126,0.0
4953,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,136,0.0
5108,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,291,0.0
5281,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,64,0.0
5275,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,58,0.0
5274,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,57,0.0
5273,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,56,0.0
5272,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,55,0.0
5269,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,52,0.0
5267,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,50,0.0
5262,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,probe0,45,0.0
5195,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,378,0.0
5135,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,318,0.0
5131,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,314,0.0
5125,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,308,0.0
5124,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,307,0.0
5120,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,303,0.0
5118,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,301,0.0
5114,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,297,0.0
5111,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,294,0.0
4880,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,probe0,63,0.0
4159,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,200,0.0
1518,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,313,0.0
1356,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,149,0.0
1257,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,50,0.0
1261,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,54,0.0
4094,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,128,0.0
1262,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,55,0.0
4095,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,129,0.0
4097,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,131,0.0
1266,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,59,0.0
1268,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,61,0.0
4098,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,132,0.0
4105,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,141,0.0
1454,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,247,0.0
1461,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,254,0.0
4106,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,142,0.0
4113,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,149,0.0
1254,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,47,0.0
4087,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,121,0.0
1269,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,62,0.0
1270,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,63,0.0
1272,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,65,0.0
1273,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,66,0.0
4122,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,158,0.0
1468,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,261,0.0
1280,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,73,0.0
1283,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,76,0.0
1286,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,79,0.0
1288,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,81,0.0
1291,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,84,0.0
1366,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,159,0.0
4125,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,161,0.0
1294,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,87,0.0
4118,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,154,0.0
4128,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,164,0.0
1370,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,163,0.0
4092,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,126,0.0
4089,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,123,0.0
4091,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,125,0.0
1443,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,236,0.0
4085,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,119,0.0
4084,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,118,0.0
1441,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,234,0.0
4083,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,117,0.0
1209,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,2,0.0
1214,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,7,0.0
4157,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,198,0.0
1215,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,8,0.0
1217,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,10,0.0
1219,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,12,0.0
1445,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,238,0.0
1253,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,46,0.0
1220,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,13,0.0
1225,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,18,0.0
1227,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,20,0.0
1228,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,21,0.0
1230,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,23,0.0
1231,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,24,0.0
1233,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,26,0.0
1437,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,230,0.0
1446,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,239,0.0
1238,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,31,0.0
1241,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,34,0.0
1371,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,164,0.0
1245,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,38,0.0
1447,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,240,0.0
1246,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,39,0.0
1439,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,232,0.0
4129,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,165,0.0
4117,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,153,0.0
4086,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,120,0.0
1328,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,121,0.0
1311,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,104,0.0
1339,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,132,0.0
4137,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,173,0.0
1333,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,126,0.0
1476,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,269,0.0
4152,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,193,0.0
1314,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,107,0.0
1327,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,120,0.0
1478,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,271,0.0
4149,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,190,0.0
4138,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,174,0.0
1332,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,125,0.0
4148,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,189,0.0
4147,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,188,0.0
4146,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,187,0.0
4140,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,176,0.0
4142,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,178,0.0
4144,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,185,0.0
4145,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,186,0.0
1480,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,273,0.0
1481,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,274,0.0
1365,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,158,0.0
1329,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,122,0.0
1359,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,152,0.0
1340,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,133,0.0
1341,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,134,0.0
4155,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,196,0.0
4135,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,171,0.0
1354,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,147,0.0
1353,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,146,0.0
4131,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,167,0.0
1296,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,89,0.0
1351,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,144,0.0
1298,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,91,0.0
1300,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,93,0.0
1302,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,95,0.0
1303,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,96,0.0
1305,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,98,0.0
1348,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,141,0.0
1363,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,156,0.0
1342,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,135,0.0
1346,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,139,0.0
4133,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,169,0.0
1343,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,136,0.0
1309,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,102,0.0
1344,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,137,0.0
4132,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,probe0,168,0.0
1471,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,probe0,264,0.0
3641,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,166,3.5541855382520898e-06
4434,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,115,0.0001377003864714
993,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,290,0.0003910294472561
1137,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,434,0.0005174236164552
1099,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,396,0.0005724870949825
3210,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,229,0.0006593823394094
2626,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,74,0.0008105386263832
3529,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,53,0.0008358643085809
2968,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,416,0.0009640894933208
799,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,94,0.0010928327848721
2503,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,348,0.0011497329320823
586,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,296,0.0012590442781696
833,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,128,0.0013036498254925
3570,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,94,0.0013719242893254
1038,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,335,0.0013722945555758
3533,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,57,0.0015331781676156
4566,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,247,0.0017336660716155
3173,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,192,0.0018835868039721
2327,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,171,0.0019288478455519
1164,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,461,0.0020911433234778
3598,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,122,0.0022862877498328
4433,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,114,0.0023745000251848
914,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,210,0.0023942360710733
3259,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,279,0.0025515264489596
1196,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,493,0.0026220827156379
162,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe0,164,0.0027128136706027
2523,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,368,0.0027252131515061
3244,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,263,0.0028396804212194
4597,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,278,0.0029628210976212
3405,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,425,0.0029799440275309
1135,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,432,0.0030712720465872
780,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,75,0.003131043355243
4562,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,243,0.0032422258982121
4773,\\zinu.cortexlab.net\Subjects\FT019\2021-07-07\2,probe0,165,0.0033791349320012
3691,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,217,0.0034819388195605
108,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe0,110,0.0034893631602932
1087,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,384,0.00355375601393
2317,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,161,0.0035892161823495
1804,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,22,0.0036244434107066
1961,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,183,0.0038079079963523
3550,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,74,0.0038507280439958
3486,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe1,10,0.0039138123900119
2260,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,103,0.0040487579792911
3339,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,359,0.0040776291948985
3338,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,358,0.0041076107834826
2245,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,88,0.0041257908105993
2434,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,279,0.0041317979793918
4666,\\zinu.cortexlab.net\Subjects\FT019\2021-07-07\2,probe0,58,0.0043370513368696
379,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,83,0.004359620665224
3122,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,140,0.0044344634376194
539,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe1,247,0.0044922096348814
2538,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,383,0.0045092687468809
2878,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,326,0.0046185313719866
3270,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,290,0.0047152840422188
257,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe0,260,0.0047583600291583
3396,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,416,0.0047753105656017
1165,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,462,0.0047975433279115
1188,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,485,0.0050379774412019
786,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,81,0.0050814734219222
2562,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,10,0.0052115277148622
4551,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,232,0.0052686681304048
2925,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe1,373,0.0052738823656375
939,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,probe0,235,0.0054057951079885
3047,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,64,0.005560431108091
4453,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,probe0,134,0.0056414126169998
1965,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\8,probe0,187,0.0058593366820351
2205,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,probe0,45,0.0060271619177981
88,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,probe0,90,0.0060956458522126
3214,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,233,0.0061760506413791
3200,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,probe0,219,0.006424140116454
