,expFolder,_av_IDs,vis_score_test
4283,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,324,0.8488234232531187
4451,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,132,0.8491727809965726
3165,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,184,0.8507597181989721
4162,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,203,0.8530317763147205
1515,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,310,0.8537778281575493
4161,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,202,0.854502444207127
1506,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,301,0.8562651977517852
3097,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,115,0.8573895875893582
5360,\\zinu.cortexlab.net\Subjects\FT027\2021-09-13\1,143,0.8595150317084107
4305,\\znas.cortexlab.net\Subjects\FT011\2021-03-23\6,346,0.859571567671638
3154,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,172,0.8604613177193741
4560,\\zinu.cortexlab.net\Subjects\FT022\2021-07-20\1,241,0.8633737961698774
1363,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,156,0.8651847197121685
1657,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,452,0.8702075199295879
1716,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,511,0.8703224175192645
3899,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,427,0.870705955700439
3388,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,408,0.8717771057845329
562,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,272,0.8720588454079093
3879,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,407,0.8780217882393615
519,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,227,0.879852258950425
1685,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,480,0.8804987069037873
2662,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,110,0.8805279490675085
2593,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,41,0.8825302194838954
2924,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,372,0.8837880494587917
1195,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,492,0.8860184830670524
1096,\\znas.cortexlab.net\Subjects\FT009\2021-01-19\5,393,0.8899584739555547
1518,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,313,0.8908509064796492
1266,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,59,0.8911846873040505
1340,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,133,0.8912158095583418
4772,\\zinu.cortexlab.net\Subjects\FT019\2021-07-07\2,164,0.8916175196934817
1554,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,349,0.8923456914312161
1209,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,2,0.8927331178314718
2894,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\7,342,0.8943143981944258
3085,\\znas.cortexlab.net\Subjects\FT010\2021-03-16\8,102,0.8947680520675276
5135,\\zinu.cortexlab.net\Subjects\FT025\2021-07-19\4,318,0.8952066476535686
244,\\znas.cortexlab.net\Subjects\FT008\2021-01-15\5,247,0.9011138573797394
1689,\\znas.cortexlab.net\Subjects\FT009\2021-01-20\7,484,0.9016102313963222
